Quote ID,Product,Kw,Unit Price,Qty,Subtotal Price,Gross Margin Rate ,"Convert to Order (0:Success, 1:Fail)",Energy grant amount,Competitor A,Competitor B,Competitor C
Q-06731,A1,15.0,174000.0,2,348000.0,0.256,0,90000,170000.0,,
Q-06679,I1,22.0,282672.0,1,282672.0,0.42969999999999997,1,132000,240000.0,,
Q-06757,H1,37.0,648000.0,1,648000.0,0.688,1,222000,360000.0,,
Q-06769,O,75.0,612390.0,1,612390.0,0.312,0,322500,,,
Q-06814,N1,75.0,648000.0,1,648000.0,0.33049999999999996,0,375000,760000.0,900000.0,
Q-06818,W,11.0,163850.0,1,163850.0,0.09050000000000001,1,66000,,,
Q-06842,I1,22.0,282672.0,1,282672.0,0.4289,1,132000,240000.0,,
Q-06855,E,15.0,408100.0,1,408100.0,0.6459999999999999,1,48600,,,
Q-06861,I1,22.0,468000.0,1,468000.0,0.6556000000000001,1,132000,240000.0,,
Q-06860,I1,22.0,468000.0,1,468000.0,0.6556000000000001,1,132000,240000.0,,
Q-06862,H1,37.0,648000.0,1,648000.0,0.688,1,222000,360000.0,,
Q-06864,J,22.0,484000.0,1,484000.0,0.5728,1,113520,,,
Q-06865,H1,37.0,648000.0,1,648000.0,0.688,1,222000,360000.0,,
Q-06866,W,11.0,290000.0,1,290000.0,0.49829999999999997,1,66000,,,
Q-06869,Q,7.5,145340.0,1,145340.0,0.0067,1,45000,130000.0,,
Q-06871,H1,37.0,372600.0,1,372600.0,0.4585,1,222000,360000.0,,
Q-06787,N1,75.0,775234.0,1,775234.0,0.423,1,375000,760000.0,900000.0,
Q-06873,W,11.0,175160.0,1,175160.0,0.16940000000000002,1,66000,,,
Q-06874,N1,75.0,775234.0,1,775234.0,0.423,1,375000,760000.0,900000.0,
Q-06875,I1,22.0,282672.0,1,282672.0,0.42969999999999997,1,132000,240000.0,,
Q-06876,I1,22.0,282672.0,1,282672.0,0.42969999999999997,1,132000,240000.0,,
Q-06877,A1,15.0,244620.0,1,244620.0,0.3494,1,90000,170000.0,,
Q-06878,I1,22.0,282672.0,1,282672.0,0.42969999999999997,1,132000,240000.0,,
Q-06896,H1,37.0,443300.0,2,886600.0,0.48200000000000004,0,222000,360000.0,,
Q-06683,D,110.0,2701000.0,1,2701000.0,0.6531999999999999,1,451000,,,
Q-06683,S,110.0,3420000.0,1,3420000.0,0.6531999999999999,1,528000,1880000.0,,
Q-06926,I1,22.0,269100.0,1,269100.0,0.40009999999999996,1,132000,240000.0,,
Q-06945,A1,15.0,405000.0,1,405000.0,0.6039,1,90000,170000.0,,
Q-06952,H1,37.0,648000.0,1,648000.0,0.688,1,222000,360000.0,,
Q-06961,H1,37.0,648000.0,1,648000.0,0.688,1,222000,360000.0,,
Q-06969,I1,22.0,261612.0,1,261612.0,0.3829,1,132000,240000.0,,
Q-06977,I1,22.0,261612.0,1,261612.0,0.3829,1,132000,240000.0,,
Q-06982,I1,22.0,261612.0,1,261612.0,0.3829,1,132000,240000.0,,
Q-06993,A1,15.0,232875.0,1,232875.0,0.31120000000000003,1,90000,170000.0,,
Q-06929,W,11.0,290000.0,1,290000.0,0.4861,1,66000,,,
Q-07006,W,11.0,118001.0,1,118001.0,-0.26289999999999997,0,66000,,,
Q-07026,H1,37.0,391392.0,1,391392.0,0.48340000000000005,1,222000,360000.0,,
Q-07032,A1,15.0,228825.0,1,228825.0,0.38159999999999994,1,90000,170000.0,,
Q-07034,A1,15.0,244620.0,1,244620.0,0.3494,1,90000,170000.0,,
Q-07038,K,37.0,313575.0,1,313575.0,0.45840000000000003,1,190920,,,
Q-07045,I1,22.0,282672.0,1,282672.0,0.42969999999999997,1,132000,240000.0,,
Q-07046,I1,22.0,279864.0,1,279864.0,0.424,1,132000,240000.0,,
Q-07042,H1,37.0,387504.0,1,387504.0,0.4782,1,222000,360000.0,,
Q-07062,H1,37.0,387504.0,1,387504.0,0.4782,1,222000,360000.0,,
Q-07061,W,11.0,173420.0,1,173420.0,0.1407,1,66000,,,
Q-07065,N1,75.0,1304400.0,1,1304400.0,0.6568999999999999,1,375000,760000.0,900000.0,
Q-07073,N1,75.0,581240.64,2,1162481.28,0.23,0,375000,760000.0,900000.0,
