quote_id,product,kw,unit_price,qty,subtotal_price,gross_margin_rate,energy_grant_amount,grant_ratio_to_subtotal,competitor_count_available,avg_competitor_price,price_gap_avg_competitor_pct,estimated_gross_profit,is_anomaly,pricing_anomaly_score_0_100,anomaly_direction,anomaly_explanation,success,gross_margin_rate_pct,grant_ratio_to_subtotal_pct
Q-05824,H1,37.0,372600.0,1,372600.0,0.4585,222000,0.5958132045088567,1,360000.0,3.5,170837.1,0,5.04,Normal pricing pattern,No anomaly detected.,0,45.85,59.58
Q-05837,N1,75.0,738012.5,1,738012.5,0.3935,375000,0.5081214749072678,2,830000.0,-11.08,290407.91874999995,0,34.47,Normal pricing pattern,No anomaly detected.,0,39.35,50.81
Q-05838,N1,75.0,940500.0,1,940500.0,0.4810999999999999,375000,0.3987240829346092,2,830000.0,13.31,452474.55,0,43.35,Normal pricing pattern,No anomaly detected.,1,48.11,39.87
Q-05842,H1,37.0,390000.0,1,390000.0,0.4615999999999999,222000,0.5692307692307692,1,360000.0,8.33,180024.0,0,5.78,Normal pricing pattern,No anomaly detected.,0,46.16,56.92
Q-05844,H1,37.0,343699.2,1,343699.2,0.413,222000,0.6459136361097145,1,360000.0,-4.53,141947.76960000003,0,17.41,Normal pricing pattern,No anomaly detected.,1,41.3,64.59
Q-05846,I1,22.0,213548.4,1,213548.4,0.244,132000,0.6181268508684682,1,240000.0,-11.02,52105.80960000001,0,19.35,Normal pricing pattern,No anomaly detected.,1,24.4,61.81
Q-05850,H1,37.0,395928.0,1,395928.0,0.4674,222000,0.5607080075165182,1,360000.0,9.98,185056.7472,0,6.84,Normal pricing pattern,No anomaly detected.,1,46.74,56.07
Q-05850,I1,22.0,285948.0,1,285948.0,0.4674,132000,0.461622392882622,1,240000.0,19.14,133652.0952,0,3.02,Normal pricing pattern,No anomaly detected.,1,46.74,46.16
Q-05854,W,11.0,290000.0,1,290000.0,0.3146,66000,0.2275862068965517,0,,,91234.0,0,27.08,Normal pricing pattern,No anomaly detected.,0,31.46,22.76
Q-05857,W,11.0,173420.0,1,173420.0,0.161,66000,0.3805789412985815,0,,,27920.619999999995,0,12.0,Normal pricing pattern,No anomaly detected.,0,16.1,38.06
Q-05861,W,11.0,173420.0,1,173420.0,0.161,66000,0.3805789412985815,0,,,27920.619999999995,0,12.0,Normal pricing pattern,No anomaly detected.,0,16.1,38.06
Q-05868,N1,75.0,1283500.0,1,1283500.0,0.6515000000000001,375000,0.292169848071679,2,830000.0,54.64,836200.2500000001,1,55.2,High conversion risk review,very high GMR (65.2%); price is 54.6% above average competitor; low grant ratio (29.2%).,0,65.15,29.22
Q-05870,H1,37.0,391392.0,1,391392.0,0.4845,222000,0.5672062791268089,1,360000.0,8.72,189629.42400000003,0,6.5,Normal pricing pattern,No anomaly detected.,0,48.45,56.72
Q-05874,I1,22.0,234280.8,1,234280.8,0.3109,132000,0.5634264523597324,1,240000.0,-2.38,72837.90071999998,0,17.75,Normal pricing pattern,No anomaly detected.,1,31.09,56.34
Q-05879,I1,22.0,265700.0,1,265700.0,0.3639,132000,0.4968009032743696,1,240000.0,10.71,96688.23,0,0.93,Normal pricing pattern,No anomaly detected.,0,36.39,49.68
Q-05881,A1,15.0,244620.0,1,244620.0,0.3443,90000,0.3679175864606328,1,170000.0,43.89,84222.66600000003,0,11.46,Normal pricing pattern,No anomaly detected.,0,34.43,36.79
Q-05882,I1,22.0,264420.0,1,264420.0,0.3895,132000,0.4992058089403222,1,240000.0,10.18,102991.59,0,0.67,Normal pricing pattern,No anomaly detected.,0,38.95,49.92
Q-05887,H1,37.0,366120.0,1,366120.0,0.4477,222000,0.6063585709603408,1,360000.0,1.7,163911.924,0,5.6,Normal pricing pattern,No anomaly detected.,0,44.77,60.64
Q-05894,H1,37.0,387504.0,1,387504.0,0.4782,222000,0.5728973120277469,1,360000.0,7.64,185304.4128,0,5.64,Normal pricing pattern,No anomaly detected.,0,47.82,57.29
Q-05895,H1,37.0,372600.0,1,372600.0,0.4585,222000,0.5958132045088567,1,360000.0,3.5,170837.1,0,5.04,Normal pricing pattern,No anomaly detected.,0,45.85,59.58
Q-05904,I1,22.0,279864.0,1,279864.0,0.424,132000,0.4716576622931138,1,240000.0,16.61,118662.33599999998,0,1.17,Normal pricing pattern,No anomaly detected.,0,42.4,47.17
Q-05906,H1,37.0,387504.0,1,387504.0,0.4782,222000,0.5728973120277469,1,360000.0,7.64,185304.4128,0,5.64,Normal pricing pattern,No anomaly detected.,0,47.82,57.29
Q-05930,H1,37.0,387504.0,1,387504.0,0.4782,222000,0.5728973120277469,1,360000.0,7.64,185304.4128,0,5.64,Normal pricing pattern,No anomaly detected.,0,47.82,57.29
Q-05931,H1,37.0,366120.0,2,732240.0,0.4477,222000,0.3031792854801704,1,360000.0,1.7,327823.848,0,17.42,Normal pricing pattern,No anomaly detected.,0,44.77,30.32
Q-05932,C,110.0,1509859.0,1,1509859.0,0.2682,451000,0.2987033888594895,0,,,404944.1838,0,36.14,Normal pricing pattern,No anomaly detected.,0,26.82,29.87
Q-05934,N1,75.0,780031.2,2,1560062.4,0.4263,375000,0.2403750003846,2,830000.0,-6.02,665054.60112,1,54.3,Unusual pricing pattern review,price is 6.0% below average competitor; low grant ratio (24.0%).,1,42.63,24.04
Q-05939,I1,22.0,264420.0,1,264420.0,0.3895,132000,0.4992058089403222,1,240000.0,10.18,102991.59,0,0.67,Normal pricing pattern,No anomaly detected.,0,38.95,49.92
Q-05939,I1,22.0,264420.0,1,264420.0,0.3895,132000,0.4992058089403222,1,240000.0,10.18,102991.59,0,5.74,Normal pricing pattern,No anomaly detected.,0,38.95,49.92
Q-05940,H1,37.0,366120.0,1,366120.0,0.449,222000,0.6063585709603408,1,360000.0,1.7,164387.88000000003,0,5.62,Normal pricing pattern,No anomaly detected.,0,44.9,60.64
