original_row_index,base_value
1149,-1.3632977278410197
2561,-1.3632977278410197
3274,-1.3632977278410197
3656,-1.3632977278410197
467,-1.3632977278410197
2256,-1.3632977278410197
4467,-1.3632977278410197
1032,-1.3632977278410197
290,-1.3632977278410197
760,-1.3632977278410197
2591,-1.3632977278410197
3793,-1.3632977278410197
2072,-1.3632977278410197
1040,-1.3632977278410197
4253,-1.3632977278410197
4072,-1.3632977278410197
4465,-1.3632977278410197
4336,-1.3632977278410197
1975,-1.3632977278410197
1687,-1.3632977278410197
2378,-1.3632977278410197
4280,-1.3632977278410197
3607,-1.3632977278410197
1011,-1.3632977278410197
2156,-1.3632977278410197
1832,-1.3632977278410197
2426,-1.3632977278410197
1072,-1.3632977278410197
2926,-1.3632977278410197
1799,-1.3632977278410197
4203,-1.3632977278410197
2040,-1.3632977278410197
4518,-1.3632977278410197
3626,-1.3632977278410197
2397,-1.3632977278410197
4669,-1.3632977278410197
1087,-1.3632977278410197
235,-1.3632977278410197
1083,-1.3632977278410197
4471,-1.3632977278410197
4766,-1.3632977278410197
4101,-1.3632977278410197
2988,-1.3632977278410197
3139,-1.3632977278410197
3118,-1.3632977278410197
460,-1.3632977278410197
2631,-1.3632977278410197
3367,-1.3632977278410197
4010,-1.3632977278410197
4142,-1.3632977278410197
3216,-1.3632977278410197
3911,-1.3632977278410197
2602,-1.3632977278410197
346,-1.3632977278410197
1245,-1.3632977278410197
4517,-1.3632977278410197
3981,-1.3632977278410197
183,-1.3632977278410197
732,-1.3632977278410197
1084,-1.3632977278410197
330,-1.3632977278410197
4109,-1.3632977278410197
3525,-1.3632977278410197
2706,-1.3632977278410197
1850,-1.3632977278410197
4421,-1.3632977278410197
4039,-1.3632977278410197
1458,-1.3632977278410197
1041,-1.3632977278410197
1632,-1.3632977278410197
3658,-1.3632977278410197
2759,-1.3632977278410197
175,-1.3632977278410197
3681,-1.3632977278410197
4711,-1.3632977278410197
376,-1.3632977278410197
2270,-1.3632977278410197
475,-1.3632977278410197
4444,-1.3632977278410197
2914,-1.3632977278410197
3370,-1.3632977278410197
4698,-1.3632977278410197
603,-1.3632977278410197
3072,-1.3632977278410197
3697,-1.3632977278410197
2257,-1.3632977278410197
1076,-1.3632977278410197
1679,-1.3632977278410197
2807,-1.3632977278410197
1610,-1.3632977278410197
44,-1.3632977278410197
663,-1.3632977278410197
2682,-1.3632977278410197
1759,-1.3632977278410197
3326,-1.3632977278410197
2011,-1.3632977278410197
4084,-1.3632977278410197
3080,-1.3632977278410197
1266,-1.3632977278410197
3205,-1.3632977278410197
524,-1.3632977278410197
3258,-1.3632977278410197
1375,-1.3632977278410197
2753,-1.3632977278410197
1325,-1.3632977278410197
2275,-1.3632977278410197
1998,-1.3632977278410197
1820,-1.3632977278410197
210,-1.3632977278410197
3678,-1.3632977278410197
4832,-1.3632977278410197
3044,-1.3632977278410197
1422,-1.3632977278410197
1342,-1.3632977278410197
3445,-1.3632977278410197
151,-1.3632977278410197
2175,-1.3632977278410197
2552,-1.3632977278410197
19,-1.3632977278410197
2779,-1.3632977278410197
2684,-1.3632977278410197
807,-1.3632977278410197
4118,-1.3632977278410197
799,-1.3632977278410197
115,-1.3632977278410197
431,-1.3632977278410197
2118,-1.3632977278410197
3728,-1.3632977278410197
3729,-1.3632977278410197
961,-1.3632977278410197
3414,-1.3632977278410197
3435,-1.3632977278410197
4761,-1.3632977278410197
3667,-1.3632977278410197
2252,-1.3632977278410197
353,-1.3632977278410197
463,-1.3632977278410197
4812,-1.3632977278410197
4260,-1.3632977278410197
2078,-1.3632977278410197
3883,-1.3632977278410197
3800,-1.3632977278410197
3392,-1.3632977278410197
4351,-1.3632977278410197
510,-1.3632977278410197
2132,-1.3632977278410197
2170,-1.3632977278410197
482,-1.3632977278410197
2328,-1.3632977278410197
4701,-1.3632977278410197
3991,-1.3632977278410197
91,-1.3632977278410197
949,-1.3632977278410197
1754,-1.3632977278410197
2192,-1.3632977278410197
4648,-1.3632977278410197
3252,-1.3632977278410197
2462,-1.3632977278410197
1233,-1.3632977278410197
2835,-1.3632977278410197
2738,-1.3632977278410197
381,-1.3632977278410197
931,-1.3632977278410197
3272,-1.3632977278410197
4613,-1.3632977278410197
1506,-1.3632977278410197
282,-1.3632977278410197
1777,-1.3632977278410197
1196,-1.3632977278410197
3248,-1.3632977278410197
1388,-1.3632977278410197
473,-1.3632977278410197
581,-1.3632977278410197
2505,-1.3632977278410197
1449,-1.3632977278410197
528,-1.3632977278410197
3343,-1.3632977278410197
2456,-1.3632977278410197
2743,-1.3632977278410197
4570,-1.3632977278410197
18,-1.3632977278410197
1079,-1.3632977278410197
